open_time,close_time,open,high,low,close,volume
1313668800,1313712000,10.9,10.9,10.9,10.9,0.48990826
1313755200,1313798400,11.85,11.85,11.15,11.69,1.92657814
1313841600,1313884800,11.7,11.7,11.7,11.7,0.08547009
1313928000,1313971200,11.7,11.7,11.7,11.7,0.08547009
1313971200,1314014400,11.7,11.7,11.7,11.7,0.02863249
1314187200,1314230400,11.5,11.5,10.5,10.5,2.35652174
1314273600,1314316800,10.0,10.0,10.0,10.0,1.1
1314705600,1314748800,8.0,8.0,8.0,8.0,1.0
1314835200,1314878400,8.0,8.31,5.25,8.09,109.12
1314878400,1314921600,8.0,8.26,7.99,8.22,55.36
1314921600,1314964800,8.12,8.88,8.0,8.88,79.76
1315137600,1315180800,8.89,8.89,8.89,8.89,0.20022497
1315310400,1315353600,8.0,8.0,8.0,8.0,21.0
1315353600,1315396800,8.5,8.5,8.5,8.5,2.88235294
1315396800,1315440000,8.5,8.5,8.5,8.5,0.11764706
1315483200,1315526400,7.98,7.98,7.4,7.4,6.86
1315915200,1315958400,5.8,6.0,5.65,5.97,58.37138238
1315958400,1316001600,5.58,5.72,5.52,5.52,59.10868362
1316001600,1316044800,5.52,5.53,5.52,5.53,2.0373
1316044800,1316088000,5.12,5.12,5.0,5.0,50.5465832
1316088000,1316131200,5.21,5.24,5.13,5.13,29.594212
1316131200,1316174400,4.82,4.82,4.8,4.8,10.185546
1316174400,1316217600,4.87,4.87,4.85,4.85,29.7284608
1316260800,1316304000,4.87,4.87,4.87,4.87,0.3
1316304000,1316347200,4.87,4.87,4.82,4.82,19.33213362
1316347200,1316390400,4.81,4.92,4.81,4.92,100.48066638
1316433600,1316476800,4.9,4.9,4.9,4.9,20.0
1316476800,1316520000,4.92,5.56,4.92,5.55,63.7147257
1316520000,1316563200,5.42,5.66,5.42,5.66,25.56598498
1316563200,1316606400,5.7,5.7,5.7,5.7,11.88932238
1316606400,1316649600,5.79,5.79,5.66,5.66,5.74
1316649600,1316692800,5.68,5.7,5.68,5.7,26.61442238
1316692800,1316736000,5.72,5.72,5.72,5.72,17.164
1316736000,1316779200,5.7,5.72,5.7,5.72,20.68003681
1316822400,1316865600,5.7,5.74,5.7,5.74,41.748138
1316865600,1316908800,5.75,5.76,5.68,5.68,48.83892833
1316952000,1316995200,6.05,6.05,6.05,6.05,12.22
1316995200,1317038400,6.06,6.06,6.05,6.05,21.103844
1317038400,1317081600,6.05,6.05,4.8,4.8,18.47461934
1317081600,1317124800,4.85,4.92,4.85,4.92,24.3545
1317168000,1317211200,4.9,4.91,4.85,4.85,58.5288888
1317211200,1317254400,4.82,4.82,4.82,4.82,24.524437
1317254400,1317297600,4.81,4.82,4.81,4.82,46.9645
1317600000,1317643200,4.85,4.87,4.83,4.87,30.57595
1317686400,1317729600,4.86,5.3,4.8,4.8,75.0123
1317729600,1317772800,4.89,5.0,4.89,4.98,67.50932238
1317772800,1317816000,4.92,6.25,4.8,4.8,53.72
1317816000,1317859200,4.89,4.92,4.89,4.92,60.0
1317859200,1317902400,4.88,4.96,4.86,4.9,72.193
1317902400,1317945600,4.89,4.99,4.8,4.8,98.65054937
1317945600,1317988800,4.8,4.81,4.59,4.65,78.64
1317988800,1318032000,4.59,4.61,4.59,4.61,16.0
1318032000,1318075200,4.57,4.57,4.5,4.5,46.8398464
1318075200,1318118400,4.5,4.5,3.99,3.99,9.1601536
1318118400,1318161600,3.89,3.89,3.89,3.89,11.0
1318248000,1318291200,3.99,4.51,3.99,4.51,132.5
1318334400,1318377600,3.98,4.1,3.98,4.1,78.08
1318420800,1318464000,3.95,3.99,3.93,3.93,79.523525
1318507200,1318550400,3.93,3.97,3.93,3.97,109.621766
1318550400,1318593600,4.05,4.05,4.05,4.05,96.97751266
1318809600,1318852800,3.92,3.92,3.92,3.92,10.24
1319068800,1319112000,2.22,2.27,2.22,2.27,43.463982
1319112000,1319155200,2.29,2.29,2.24,2.24,18.50835
1319155200,1319198400,2.22,2.27,2.22,2.27,41.46334066
1319414400,1319457600,2.99,2.99,2.92,2.92,64.54
1319500800,1319544000,2.66,2.72,2.66,2.72,130.29932366
1319630400,1319673600,2.72,3.0,2.67,2.69,268.2689727
1319760000,1319803200,3.07,3.07,3.07,3.07,45.98897266
1319803200,1319846400,4.36,4.36,4.2,4.2,72.3889
1319846400,1319889600,3.69,4.4,3.69,4.4,53.432425
1319889600,1319932800,4.0,4.0,3.95,3.95,35.0
1319932800,1319976000,3.85,3.85,3.85,3.85,51.432425
1319976000,1320019200,3.82,3.82,3.2,3.5,64.94897
1320019200,1320062400,3.25,3.55,3.2,3.55,39.04404308
1320062400,1320105600,3.3,3.3,3.3,3.3,29.95
1320148800,1320192000,3.32,3.33,3.32,3.33,38.7771206
1320364800,1320408000,3.27,3.27,3.27,3.27,46.29816032
1320408000,1320451200,3.35,3.55,3.21,3.55,70.78287835
1320451200,1320494400,3.21,3.21,3.21,3.21,10.0
1320494400,1320537600,3.21,3.21,3.0,3.0,93.512
1320580800,1320624000,2.95,2.95,2.95,2.95,203.388
1320710400,1320753600,3.08,3.08,3.08,3.08,47.47212389
1320796800,1320840000,3.09,3.09,3.09,3.09,20.0
1320840000,1320883200,3.2,3.3,3.2,3.3,38.86052015
1320926400,1320969600,3.25,3.3,2.95,3.3,121.66777314
1320969600,1321012800,3.3,3.3,3.3,3.3,65.434
1321099200,1321142400,3.35,3.35,3.35,3.35,2.79
1321142400,1321185600,3.35,3.35,3.35,3.35,29.48955224
1321228800,1321272000,2.95,2.95,2.95,2.95,1.0
1321272000,1321315200,2.87,2.87,2.47,2.47,182.4
1321315200,1321358400,2.99,2.99,2.99,2.99,3.70568562
1321358400,1321401600,2.99,3.0,2.5,2.5,93.63592618
1321444800,1321488000,2.51,3.0,2.51,3.0,5.61666667
1321488000,1321531200,3.0,3.0,3.0,3.0,2.51
1321531200,1321574400,2.5,2.99,2.5,2.99,14.50862876
1321617600,1321660800,2.5,2.79,2.5,2.5,88.44
1321660800,1321704000,2.5,2.5,2.43,2.43,33.87212355
1321704000,1321747200,2.43,2.43,2.43,2.43,15.0
1321790400,1321833600,2.37,2.37,2.37,2.37,11.0
1321876800,1321920000,2.45,3.0,2.25,2.25,290.52677579
1321963200,1322006400,2.53,2.59,2.46,2.59,328.49334597
1322136000,1322179200,2.54,3.0,2.54,3.0,9.1446088
1322179200,1322222400,2.5,15.0,2.5,15.0,103.62066667
1322222400,1322265600,2.7,2.76,2.7,2.75,76.16659932
1322265600,1322308800,2.77,2.77,2.77,2.77,10.09025271
1322438400,1322481600,2.67,2.78,2.67,2.78,76.90647482
1322481600,1322524800,2.67,2.67,2.66,2.66,103.46067416
1322524800,1322568000,2.69,2.69,2.69,2.69,25.23932584
1322568000,1322611200,3.22,3.23,2.72,2.72,37.22532298
1322611200,1322654400,3.19,3.19,3.19,3.19,14.53918495
1322740800,1322784000,3.46,3.48,3.3,3.42,233.78003348
1322784000,1322827200,3.45,3.45,3.08,3.13,119.6144564
1322827200,1322870400,3.09,3.09,3.04,3.04,12.14258382
1322913600,1322956800,2.93,2.93,2.93,2.93,0.5
1323043200,1323086400,2.82,2.99,2.82,2.89,153.3624256
